doc,cq,covered,rows,required_vars,query_path
dsa_017.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_017.ttl,CQ4,1,2,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_018.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_018.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_018.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_018.ttl,CQ4,1,2,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_019.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_019.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_019.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_019.ttl,CQ4,1,2,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_020.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_020.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_020.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_020.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_021.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_021.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_021.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_021.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_022.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_022.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_022.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_022.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_023.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_023.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_023.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_023.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_024.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_024.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_024.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_024.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_025.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_025.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_025.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_025.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_026.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_026.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_026.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_026.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_027.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_027.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_027.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_027.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_028.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_028.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_028.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_028.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_029.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_029.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_029.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_029.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_030.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_030.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_030.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
